GPS time of week(s), GPS week, latitude (deg), longitude (deg), height (m), Velocity North (m/s), Velocity East (m/s), Velocity Up (m/s), Ground Speed (km/hr), Clock Offset (m), Clock Drift (m/s), Northing (m), Easting (m), Up (m),STDEV latitude (m), STDEV longitude (m), STDEV height (m), STDEV Velocity North (m/s), STDEV Velocity East (m/s), STDEV Velocity Up (m/s), STDEV Clock Offset (m), STDEV Clock Drift (m/s), NR PSR Available, NR PSR Used, NR Doppler Available, NR Doppler Used, NR ADR Available, NR ADR Used,NDOP,EDOP,VDOP,HDOP,PDOP,TDOP,GDOP
75494.999,1463,51.0942988696,-114.13794525734,1093.6752,0.002932407,-0.001258729,-0.0006655762,0.01148812,-211772.0474283,-121.841846,5.6362204,-12.2815,0.71820626,0.11862255,0.08270219,0.16077299,0.099968141,0.099963555,0.099989888,0.11318614,99.949887,11,10,0,0,11,3,0.73042738,0.62954468,1.1693221,0.96428764,1.5156401,0.84475535,1.7351589
75499.99901,1463,51.0942986298,-114.13794478445,1093.7192,-0.005888985,0.001512511,0.00235262,0.02188843,-212987.1469187,-121.875667,5.6095382,-12.248366,0.76217525,0.11842193,0.083084594,0.16197212,0.09996818,0.09996356,0.099989882,0.1131782,99.949887,11,10,0,0,11,3,0.73043877,0.62947732,1.1698395,0.96425229,1.5160168,0.84514225,1.7356763
75504.99903,1463,51.09429893135,-114.13794453828,1093.7538,-0.0005189245,5.807794e-005,0.0005154438,0.001879792,-214202.6724838,-121.919338,5.6430916,-12.231118,0.79675573,0.11818919,0.083425443,0.1630608,0.09996821,0.099963562,0.099989869,0.11314778,99.949887,11,10,0,0,10,9,0.73044986,0.62941015,1.170356,0.96421683,1.5163928,0.84552836,1.7361928
75509.999,1463,51.09429941272,-114.13794416025,1093.7916,-0.0004508919,-0.0004590046,-0.001369411,0.00231631,-215418.6268573,-121.963449,5.6966537,-12.20463,0.83456475,0.11719889,0.08287396,0.16245214,0.09995479,0.09995374,0.099959919,0.11275257,99.949887,11,10,0,0,10,9,0.73046064,0.62934303,1.1708715,0.96418124,1.5167681,0.84591365,1.7367083
75514.99901,1463,51.09429961045,-114.13794399161,1093.8032,-4.775829e-007,0.0009589775,0.0002671916,0.003452319,-216635.1007519,-122.013012,5.7186542,-12.192814,0.84616956,0.11662046,0.082549369,0.16173123,0.099956345,0.099955166,0.099961129,0.11234219,99.949887,10,9,0,0,10,7,0.79413974,0.68497413,1.1938545,1.0487361,1.5890677,0.86690289,1.8101537
75519.99899,1463,51.09430003274,-114.13794347967,1093.8238,0.002213733,0.002250255,-0.0005957201,0.01136384,-217852.204916,-122.077603,5.7656428,-12.156944,0.86678748,0.11596784,0.08212023,0.16089604,0.099956699,0.099955484,0.099961405,0.11190969,99.949887,10,9,0,0,10,7,0.79414111,0.68486214,1.1942701,1.0486641,1.5893323,0.86723512,1.8105452
75524.999,1463,51.0943000073,-114.13794404596,1093.8499,-0.002516856,-0.0048142,0.001276265,0.01955668,-219069.6892536,-122.114617,5.7628121,-12.196622,0.89287387,0.11530286,0.081675508,0.16003654,0.099956707,0.099955486,0.099961412,0.11147331,99.949887,10,9,0,0,10,9,0.79414213,0.68475026,1.1946849,1.0485917,1.5895964,0.86756647,1.8109357
75529.99901,1463,51.09430025254,-114.13794343994,1093.8365,0.001133814,0.003353986,-0.001061314,0.0127456,-220287.5243407,-122.148835,5.7900995,-12.15416,0.87948952,0.11466072,0.081249785,0.15918406,0.099956711,0.099955484,0.099961415,0.11103895,99.949887,9,9,0,0,9,7,0.7941429,0.6846385,1.1950986,1.0485194,1.5898596,0.86789685,1.8113251
75534.99902,1463,51.09430032946,-114.13794360171,1093.8163,-0.0001973519,-0.001067676,0.0005573281,0.003908745,-221505.4583639,-122.157882,5.7986582,-12.165495,0.85931808,0.11401859,0.08091782,0.15832502,0.099956721,0.099956203,0.099961854,0.11062623,99.949887,9,9,0,0,9,6,0.79414332,0.68452692,1.1955116,1.0484468,1.5901222,0.86822629,1.8117135
75539.999,1463,51.0943009017,-114.13794326333,1093.8177,0.003476445,0.001921081,-0.0002303798,0.01429894,-222724.1576434,-122.236879,5.8623311,-12.141785,0.86070692,0.11318764,0.08038797,0.1573437,0.099956733,0.099956634,0.099962078,0.11014388,99.949887,10,10,0,0,9,6,0.73051882,0.62894243,1.1739435,0.96396387,1.5190029,0.84820741,1.7397774
